Country,Region,Project Total,Projects 11/10-11/16,Projects 11/16-Present,Climate Change Project Total,Climate Change Projects 11/10-11/16,Climate Change Projects 11/16-Present,Climate Change Project Total Proportion,Climate Change Project Proportion 11/10-11/16,Climate Change Project Proportion 11/16-Present,Climate Change Total Commitment Amount 11/10-11/16,Climate Change Total Commitment Amount 11/16-Present
Afghanistan,Central and West Asia,213,43,46,29,1,26,0.14,0.02,0.57,717230500,4071950000
Armenia,Central and West Asia,142,38,17,20,7,8,0.14,0.18,0.47,175410000,214390000
Azerbaijan (missing from data),Central and West Asia,86,16,5,9,2,3,0.10,0.13,0.60,,
Bangladesh,South Asia,435,62,61,69,9,50,0.16,0.15,0.82,1783610000,41257020960
Bhutan,South Asia,66,15,19,18,3,12,0.27,0.20,0.63,12800000,269184879
Cambodia,South East Asia,123,19,28,23,1,16,0.19,0.05,0.57,40000000,1719176794
Cook Islands (in free association with NZ),The Pacific,,,,,,,,,,,
Federated States of Micronesia,The Pacific,14,3,10,9,1,7,0.64,0.33,0.70,,
Fiji,The Pacific,31,3,9,8,1,6,0.26,0.33,0.67,,
Georgia,Central and West Asia,124,28,18,20,2,13,0.16,0.07,0.72,98000000,7227300000
India,South Asia,932,93,107,172,27,88,0.18,0.29,0.82,11424780000,57567360280
Indonesia,South East Asia,655,73,57,72,8,40,0.11,0.11,0.70,3866868105,59782801182
Kazakhstan,Central and West Asia,85,16,5,11,1,4,0.13,0.06,0.80,,
Kiribati,The Pacific,32,11,15,18,3,12,0.56,0.27,0.80,45030000,199785308
Kyrgyz Republic,Central and West Asia,145,42,29,27,4,21,0.19,0.10,0.72,73510000,807271000
Lao People's Democratic Republic,South East Asia,157,30,36,40,9,21,0.25,0.30,0.58,157336000,902781976
Maldives,South Asia,46,11,15,22,6,12,0.48,0.55,0.80,40145500,289800000
Marshall Islands,The Pacific,21,5,12,11,1,9,0.52,0.20,0.75,,
Mongolia,East Asia,110,25,21,16,1,11,0.15,0.04,0.52,33890000,497500000
Myanmar,South East Asia,76,16,14,12,5,7,0.16,0.31,0.50,,
Nauru,The Pacific,,,,,,,,,,,
Nepal,South Asia,231,45,45,46,4,32,0.20,0.09,0.71,111864600,6229972988
Niue (in free association with NZ),The Pacific,,,,,,,,,,,
Pakistan,Central and West Asia,503,66,79,65,6,51,0.13,0.09,0.65,1747950000,28790261500
Palau,The Pacific,3,0,1,0,0,0,0.00,0.00,0.00,,
Papua New Guinea,The Pacific,100,19,15,14,1,12,0.14,0.05,0.80,7900000,741750000
People's Republic of China,East Asia,610,102,50,177,54,39,0.29,0.53,0.78,27934972234,57164815028
Philippines,South East Asia,367,42,29,53,7,21,0.14,0.17,0.72,2654284487,15343651425
Samoa,The Pacific,49,15,12,19,8,11,0.39,0.53,0.92,87393000,197400000
Solomon Islands,The Pacific,59,16,22,23,4,17,0.39,0.25,0.77,26330000,588256211
Sri Lanka,South Asia,205,26,20,28,5,15,0.14,0.19,0.75,574600000,8637301000
Tajikistan,Central and West Asia,138,31,33,33,7,25,0.24,0.23,0.76,107066000,1292340000
Thailand,South East Asia,192,7,2,17,3,1,0.09,0.43,0.50,7597380,5944980
Timor-Leste,South East Asia,57,10,8,13,4,7,0.23,0.40,0.88,,
Tonga,The Pacific,42,13,18,21,4,15,0.50,0.31,0.83,58599452,214070000
Turkmenistan,Central and West Asia,13,0,2,0,0,0,0.00,0.00,0.00,,
Tuvalu,The Pacific,25,9,12,15,4,11,0.60,0.44,0.92,51760000,156750000
Uzbekistan,Central and West Asia,94,18,34,34,5,27,0.36,0.28,0.79,1040444000,7204189100
Vanuatu,The Pacific,27,10,7,13,5,7,0.48,0.50,1.00,,
Viet Nam,South East Asia,312,80,40,62,20,24,0.20,0.25,0.60,2780858235,5034785665